Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: National Organizations of the U.S.") And Edition (57)  LIMITS: Database (Encyclopedia of Associations: National Organizations of the U.S...."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - collectIndustries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"RGXYCN811503598","Association of Indian Pathologists in North America (AIPNA)","1812 Kings Isle Dr.","","","","","Plano, TX 75093-2422 USA","Plano","TX","75093-2422","United States","","","","","","http://www.aipna.org","","","8011","Offices and Clinics of Medical Doctors","1995","","13968","","None Reported","None Reported","","","Newsletter","Latest issue: May 2013","","None Reported","","","Pathology","08","Health and Medical Organizations","Meenakshi Singh, Dr.","","","",""
"OQSHGU344529476","Association of Marketing and Communication Professionals (AMCP)","127 Pittsburgh St.","","","","","Dallas, TX 75207 USA","Dallas","TX","75207","United States","214","(214)377-3524","","","info@amcpros.com","http://www.amcpros.com; http://www.facebook.com/amcpros; http://www.linkedin.com/company/association-of-marketing-&-communication-professionals; http://twitter.com/AMCP_Awards","","","8742","Management Consulting Services","1995","","","","None Reported","Yes","Trophy","","","","","None Reported","","","Marketing; Communications","01","Trade, Business, and Commercial Organizations","","","","",""
"XUHZEY636973400","Association of Paroling Authorities International (APAI)","Sam Houston State University","George J. Beto Criminal Justice Ctr.","","","","Huntsville, TX 77341-2296 USA","Huntsville","TX","77341-2296","United States","936","(936)294-1706","877-318-2724","(936)294-1671","info@apaintl.org","http://www.apaintl.org","","","8322; 9222","Individual and Family Services; Legal Counsel and Prosecution","1960","2","75000","","None Reported","Yes","Recognition","","Newsletter","quarterly","Yes","Yes","meeting; conference","Yes","Parole","03","Legal, Governmental, Public Administration, and Military Organizations","Monica Morris","","","",""
"DHAJES422798915","Association of Professional Flight Attendants (APFA)","1004 W Euless Blvd.","","","","","Euless, TX 76040 USA","Euless","TX","76040","United States","817","(817)540-0108","","(817)540-2077","","http://www.apfa.org; http://twitter.com/APFAunity","","","8999; 3724; 3728; 3724; 3728","Services Nec; Aircraft Engines and Engine Parts; Aircraft Parts and Equipment Nec; Aircraft Engines and Engine Parts; Aircraft Parts and Equipment Nec","1977","17","10000000","21000","None Reported","None Reported","","","","","","None Reported","","","Aviation","15","Labor Unions, Associations, and Federations","Laura Glading","","","",""
"UWTBOC511584981","Association of Progressive Rental Organizations (APRO)","1504 Robin Hood Trl.","","","","","Austin, TX 78703 USA","Austin","TX","78703","United States","","","800-204-2776","(512)794-0097","","http://www.rtohq.org; http://www.facebook.com/RTOHQ/?ref=ts; http://twitter.com/rtohq","2741; 2721; 2731","Miscellaneous Publishing; Periodicals; Book Publishing","7359","Equipment Rental and Leasing Nec","1980","9","1500000","","None Reported","Yes","Recognition","","Membership directory; Newsletter; Magazine","annual; bimonthly; weekly","Yes","Yes","tradeshow; convention","","Renting and Leasing","01","Trade, Business, and Commercial Organizations","Valerie Villarreal","","","",""
"KFGEQM977192108","Association of Psychology Postdoctoral and Internship Centers (APPIC)","Onyx One, Ste. 170","17225 El Camino Real","","","","Houston, TX 77058-2748 USA","Houston","TX","77058-2748","United States","832","(832)284-4080","","(832)284-4079","appic@appic.org","http://www.appic.org","2741","Miscellaneous Publishing","8299","Schools and Educational Services Nec","1968","6","1080","","None Reported","Yes","Recognition; Award","","Directory","annual","No","None Reported","","","Medical Education","05","Educational Organizations","Jeff Baker, PhD","","","",""
"YPMVSP734176084","Association of Zoo Veterinary Technicians (AZVT)","c/o Dianna Lydick, RVT, Executive Director","650 S RL Thornton Fwy.","","","","Dallas, TX 75203 USA","Dallas","TX","75203","United States","","","","","dianna.lydick@dallaszoo.com","http://www.azvt.org","","","0741","Veterinary Services--Livestock","1981","6","","400","None Reported","Yes","Scholarship","","","","","None Reported","","","Veterinary Medicine","08","Health and Medical Organizations","Kelli Harvison, CVT","","","",""
"PXCWIG317416262","ATAYAL","900 E Pecan St., Ste. 300","PMB 104","","","","Pflugerville, TX 78660 USA","Pflugerville","TX","78660","United States","407","(407)459-7766","","","info@atayal.org","http://www.atayal.org; http://www.facebook.com/groups/206834762760713; http://twitter.com/atayalorg","","","","","2000","","","","None Reported","None Reported","","","","","","None Reported","","","Indigenous Peoples; Cultural Exchange","06","Cultural Organizations","Tony Coolidge","","","",""
"YJWMQT327350515","Beefmaster Breeders United (BBU)","6800 Park 10 Blvd., Ste. 290 W","","","","","San Antonio, TX 78213 USA","San Antonio","TX","78213","United States","210","(210)732-3132","","(210)732-7711","info@beefmasters.org","http://www.beefmasters.org; http://www.facebook.com/BeefmasterBreedersUnited; http://twitter.com/BBUcattle","","","0751","Livestock Services","1961","9","1095063","4800","None Reported","None Reported","","","","","","None Reported","","","Cattle","02","Environmental and Agricultural Organizations","Steve Carpenter","","","",""
"HPUNXW833325513","Benign Essential Blepharospasm Research Foundation (BEBRF)","637 N 7th St., Ste. 102","","","","","Beaumont, TX 77702 USA","Beaumont","TX","77702","United States","409","(409)832-0788","","(409)832-0890","bebrf@blepharospasm.org","http://www.blepharospasm.org","2741; 8733","Miscellaneous Publishing; Noncommercial Research Organizations","8322; 8731","Individual and Family Services; Commercial Physical Research","1981","3","229612","","Yes","Yes","Grant","","Pamphlet; Newsletter; Brochure","","No","Yes","meeting","","Neurological Disorders; Disease; Health; Health Care; Health Professionals; Medical; Medical Research; Medicine; Neurology; Physicians","08","Health and Medical Organizations","Barbara Benton","","","",""
"WKDHHS943333568","Beta Upsilon Chi (BYX)","12650 N Beach St., Ste. 114, No. 305","","","","","Fort Worth, TX 76244 USA","Fort Worth","TX","76244","United States","","","877-250-4512","","","http://www.betaupsilonchi.org; http://www.facebook.com/betaupsilonchi; http://www.linkedin.com/groups/64659; http://www.twitter.com/betaupsilonchi","","","8699","Membership Organizations Nec","1985","9","743067","","None Reported","None Reported","","","","","","None Reported","","","Christian; Fraternities and Sororities","17","Greek and Non-Greek Letter Societies, Associations, and Federations","Jason Hoyt","","","",""
"TLBFGK082108976","Bhojpuri Association of North America (BANA)","801 Hebron Pky., No. 7210","","","","","Lewisville, TX 75057 USA","Lewisville","TX","75057","United States","","","","","info@bhojpuri.us","http://www.bhojpuri.us","","","","","","","","","None Reported","None Reported","","","","","","None Reported","","","Language","06","Cultural Organizations","Mr. Sailesh Mishra","","","",""
"SWWARM458495892","Big Thicket Association (BTA)","PO Box 198","","","","","Saratoga, TX 77585 USA","Saratoga","TX","77585","United States","936","(936)274-1181","","","","http://www.bigthicket.org; http://www.facebook.com/BigThicketAssociation","","","0851","Forestry Services","1964","3","220327","315","None Reported","Yes","Recognition","","Newsletter","bimonthly","","None Reported","","","Conservation","02","Environmental and Agricultural Organizations","Dr. James Westgate","","","",""
"IEEQZE707621699","Bill Glass Champions for Life","1101 S Cedar Ridge Dr.","","","","","Duncanville, TX 75137 USA","Duncanville","TX","75137","United States","972","(972)298-1101","","(972)298-1104","info@billglasscfl.org","http://www.behindthewalls.com; http://www.facebook.com/BillGlassBehindTheWalls; http://www.linkedin.com/company/bill-glass-champions-for-life; http://twitter.com/BGBTW","","","8661","Religious Organizations","1969","25","3400000","55000","None Reported","None Reported","","","","","","None Reported","","","Evangelism","11","Religious Organizations","Bill Glass","","","",""
"JLNPAM206836607","Boone Society","1303 Hunter Ace Way","","","","","Cedar Park, TX 78613 USA","Cedar Park","TX","78613","United States","","","","","jan.a.larson@gmail.com","http://www.boonesociety.org; http://www.facebook.com/BooneSociety","","","","","1996","","","","None Reported","None Reported","","","Newsletter","quarterly","No","None Reported","","","Family Name Societies","12","Veterans', Hereditary, and Patriotic Organizations","Sam Compton","","","",""
"DTFCLD533502179","Bowling Proprietors Association of America (BPAA)","621 Six Flags Dr.","","","","","Arlington, TX 76011 USA","Arlington","TX","76011","United States","","","800-343-1329","","answer@bpaa.com","http://bpaa.com; http://www.facebook.com/bowling.proprietors; http://twitter.com/BPAATournaments","2721","Periodicals","7933","Bowling Centers","1932","32","11034113","","None Reported","Yes","Medal; Recognition","","","","","Yes","tradeshow","Yes","Sports","01","Trade, Business, and Commercial Organizations","Nancy Schenk","","","",""
"NMVROE761948795","Boy Scouts of America (BSA)","1325 W Walnut Hill Ln.","","","","","Irving, TX 75038 USA","Irving","TX","75038","United States","972","(972)580-2000","","","myscouting@scouting.org","http://www.scouting.org; http://www.facebook.com/theboyscoutsofamerica; http://twitter.com/boyscouts","2741; 2721; 2389","Miscellaneous Publishing; Periodicals; Apparel and Accessories Nec","","","1910","4287","275838","","None Reported","Yes","Award; Recognition; Medal","","Magazine; Directory","5/year; semimonthly","No","None Reported","","","Scouting; Camps; Clubs; Outdoor Education; Outdoor Recreation; Youth","07","Social Welfare Organizations","Michael Ashline","","","",""
"DUUYST273026204","Bull Terrier Club of America (BTCA)","c/o Alesia Cooke, Executive Secretary","1103 Lake Estates Dr.","","","","Sugar Land, TX 77498 USA","Sugar Land","TX","77498","United States","","","","","","http://www.btca.com","","","0752","Animal Specialty Services","1897","","70938","742","None Reported","None Reported","","","Newsletter","3/year; summer, fall and winter","Yes","None Reported","","","Dog","13","Hobby and Avocational Organizations","Alesia Cooke","","","",""
"TCTAMW641811244","Care Highway International (CHI)","PO Box 100986","","","","","San Antonio, TX 78201 USA","San Antonio","TX","78201","United States","","","","","","http://carehighway.org; http://www.facebook.com/carehighway; http://twitter.com/care_highway","","","","","1997","","","","None Reported","None Reported","","","","","","None Reported","","","Relief; Disaster Aid; Social Welfare; Social Work; Social Service; Human Services","07","Social Welfare Organizations","","","","",""
"XSEOOX955434089","Caring for Cambodia (CFC)","900 RR 620 S, No. C101-304","","","","","Austin, TX 78734 USA","Austin","TX","78734","United States","","","","","volunteers@caringforcambodia.org","http://caringforcambodia.org; http://www.facebook.com/caringforcambodia1; http://twitter.com/caring4cambodia","8399","Social Services Nec","8322","Individual and Family Services","","","1303743","","None Reported","None Reported","","","","","","None Reported","","","Childhood Education; Education; Child Welfare; Child Development; Children","05","Educational Organizations","Jamie Amelio","","","",""
"AQZSSF711493261","Center for American and International Law (CAIL)","5201 Democracy Dr.","","","","","Plano, TX 75024 USA","Plano","TX","75024","United States","972","(972)244-3400; (972)244-3430","800-409-1090","(972)244-3401","cail@cailaw.org","http://www.cailaw.org; http://www.linkedin.com/groups/2330559/profile; http://twitter.com/CAIL_LAW","3652","Prerecorded Records and Tapes","8111","Legal Services","1947","25","5525829","813","None Reported","Yes","Recognition","","","","","None Reported","","","Law; Attorneys","03","Legal, Governmental, Public Administration, and Military Organizations","Hariiet E. Miers","","","",""
"GDNDSK155461455","Charley Pride Fan Club (CPFC)","3198 Royal Ln., Ste. 200","","","","","Dallas, TX 75229 USA","Dallas","TX","75229","United States","214","(214)350-8477","","(214)350-0534","johndaines@gmail.com","http://www.charleypride.com; http://www.facebook.com/charleypride","","","7929","Entertainers and Entertainment Groups","1983","","","550","None Reported","None Reported","","","","","","None Reported","","","Music","18","Fan Clubs","John Daines","","","",""
"YGGXQA795148991","Cheng Ming USA","3916 McDermott Dr., Ste. 160","","","","","Plano, TX 75025 USA","Plano","TX","75025","United States","972","(972)740-8458","","","info@chengmingusa.com","http://www.chengmingusa.com","7999","Amusement and Recreation Nec","","","1994","","","","None Reported","None Reported","","","","","","None Reported","","","Martial Arts","14","Athletic and Sports Organizations","","","","",""
"GHSQTU124955746","Children's Craniofacial Association (CCA)","13140 Coit Rd., Ste. 517","","","","","Dallas, TX 75240 USA","Dallas","TX","75240","United States","214","(214)570-9099","800-535-3643","(214)570-8811","contactcca@ccakids.com","http://www.ccakids.com; http://www.facebook.com/ccakids; http://twitter.com/CCAKidsTweet","","","8322; 8299","Individual and Family Services; Schools and Educational Services Nec","1989","","400000","","None Reported","None Reported","","","","","","None Reported","","","Craniofacial Abnormalities","08","Health and Medical Organizations","Bill Mecklenburg","","","",""
"PGLNRV937541909","China Aid Association (CAA)","PO Box 8513","","","","","Midland, TX 79708 USA","Midland","TX","79708","United States","432","(432)689-6985","888-889-7757","(432)686-8355","info@chinaaid.org","http://www.chinaaid.org; http://www.facebook.com/ChinaAidAssociation; http://www.twitter.com/chinaaid","","","","","2002","10","1452201","","None Reported","None Reported","","","Report","annual","No","None Reported","","","Religious Freedom; China; Chinese; Christian; Christianity; Churches; Protestant; Religion; Religious Studies; Religious Understanding","11","Religious Organizations","Bob Fu Xiqiu","","","",""
"ZSSHDG917193453","Christ for the Nations (CFN)","3404 Conway St.","","","","","Dallas, TX 75224 USA","Dallas","TX","75224","United States","214","(214)376-1711","800-933-2364","","info@cfni.org","http://www.cfn.org; http://www.facebook.com/pages/Christ-For-The-Nations-Institute-Official-Page/210577005441; http://twitter.com/cfni","2731; 2741","Book Publishing; Miscellaneous Publishing","8322; 8399","Individual and Family Services; Social Services Nec","1948","150","","","None Reported","None Reported","","","","","","None Reported","","","Mission","11","Religious Organizations","Dennis Lindsay","","","",""
"ILMVGV419864295","Christian Adult Higher Education Association (CAHEA)","c/o Renee Hyatt, Coordinator","2100 Westway Ave.","","","","Garland, TX 75042 USA","Garland","TX","75042","United States","972","(972)864-2010","","(972)278-8486","main@cahea.org","http://www.cahea.org","","","","","1995","","","","None Reported","None Reported","","","","","","Yes","conference","","Christian","05","Educational Organizations","Renee Hyatt","","","",""
"NNTCMP132792269","Christian Association of World Languages (CAWL)","c/o Alex Vaughan, Treasurer","Dept. of Modern Foreign Languages","1 Bear Pl., No. 97391","","","Waco, TX 76798-7391 USA","Waco","TX","76798-7391","United States","","","","","","http://christianassociationofworldlanguages.org; http://www.facebook.com/ChristianAssociationOfWorldLanguages; http://twitter.com/_cawl_","","","8299","Schools and Educational Services Nec","","","","","None Reported","None Reported","","","","","","None Reported","","","Language","05","Educational Organizations","Alex Vaughan","","","",""
"PSUBCL987701757","Christian Hunters and Anglers Association (CHAA)","PO Box 132379","","","","","Tyler, TX 75712-0072 USA","Tyler","TX","75712-0072","United States","903","(903)312-7390","","","hunterangler@yahoo.com","http://www.hunters-anglers.org","","","","","","","","","None Reported","None Reported","","","","","","None Reported","","","Hunting; Christianity; Fishing; Gospel; Outdoor Recreation; Recreation; Christian","13","Hobby and Avocational Organizations","Bobby Brasher","","","",""
"NACBAA041612112","Christian Mission for the Deaf (CMD)","PO Box 1651","","","","","Aledo, TX 76008 USA","Aledo","TX","76008","United States","","","","","","http://www.cmdeaf.org","","","8661","Religious Organizations","1956","3","105650","","None Reported","None Reported","","","Newsletter","quarterly","No","None Reported","","","Mission","11","Religious Organizations","Tim Foster","","","",""
"VFSADY707155630","Christian Women in Media Association (CWIMA)","PO Box 571566","","","","","Dallas, TX 75357 USA","Dallas","TX","75357","United States","","","","","women@cwima.org","http://cwima.org; http://www.facebook.com/CWIMA.org; http://twitter.com/cwima","","","","","2002","","","","None Reported","None Reported","","","","","","None Reported","","","Media; Christian; Women; Entertainment","01","Trade, Business, and Commercial Organizations","Suellen Roberts","","","",""
"DKZEJH435455659","Circle of Health International (COHI)","2324 E Cesar Chavez St.","","","","","Austin, TX 78702 USA","Austin","TX","78702","United States","347; 512","(347)712-1721; (512)210-7710","","","info@cohintl.org","http://www.cohintl.org; http://www.facebook.com/cohintl; http://www.linkedin.com/company/3024804; http://twitter.com/COHIntl","","","","","2004","","295908","","None Reported","None Reported","","","Newsletter","monthly","No","None Reported","","","Medical Aid; Women; Health","08","Health and Medical Organizations","Blaire Kniffin","","","",""
"HLCKTA872353974","Clan MacDuff Society of America","8105 Rainfall Rd.","","","","","Alvarado, TX 76009-4505 USA","Alvarado","TX","76009-4505","United States","817","(817)783-2942","","","membership@clanmacduff.org","http://www.clanmacduff.org; http://www.facebook.com/ClanMacDuffSociety","","","","","1974","","","1000","None Reported","None Reported","","","","","","None Reported","","","Family Name Societies","12","Veterans', Hereditary, and Patriotic Organizations","","","","",""
"IMAYRU639163083","Cloud Family Association (CFA)","508 Crestwood Dr.","","","","","Eastland, TX 76448 USA","Eastland","TX","76448","United States","","","","","lboose@classicnet.net","http://homepages.rootsweb.ancestry.com/~cloud; http://www.facebook.com/pages/Cloud-Genealogy/175505624763; http://www.facebook.com/Cloudfa","","","8322; 8733","Individual and Family Services; Noncommercial Research Organizations","1977","","","150","None Reported","None Reported","","","Journal","quarterly","No","Yes","meeting","","Family Name Societies","12","Veterans', Hereditary, and Patriotic Organizations","Linda Boose","","","",""
"KQRLHD869092486","Cognitive Science Society (CSS)","Univ. of Texas - Austin, c/o Deborah Gruber, Business Mgr.","Dept. of Psychology, Uinv. of Texas--Austin","108 Dean Keaton, Stop A8000, Dept. of Psychology","108 Dean Keaton, Stop A8000","","Austin, TX 78712-1043 USA","Austin","TX","78712-1043","United States","303","(303)327-7547","","(720)881-6101","info@cognitivesciencesociety.org","http://cognitivesciencesociety.org; http://www.facebook.com/Cognitive-Science-Society-150315354981596; http://twitter.com/cogsci_soc","","","8731","Commercial Physical Research","1979","1","","1500","None Reported","None Reported","","","Journal","bimonthly","No","None Reported","","","Artificial Intelligence","04","Engineering, Technological, and Natural and Social Sciences Organizations","Terry Regier","","","",""
"CGQJAL484801713","Collins Collectors Association (CCA)","c/o Scott Kerr, President","2500 Chantilly Ct.","","","","Heath, TX 75032 USA","Heath","TX","75032","United States","972","(972)772-9750","","","","http://www.collinsradio.org; http://www.facebook.com/Collins-Collectors-Association-785998928175039","","","","","1994","","","","None Reported","None Reported","","","Newsletter","quarterly","No","None Reported","","","Amateur Radio","13","Hobby and Avocational Organizations","James F. Stitzinger, Jr.","","","",""
"OASEPA248085613","Colored Angora Goat Breeder's Association (CAGBA)","c/o Polly Holmes, Treasurer","2JP Ranch","150 Scenic Dr.","","","Mountain Home, TX 78058-2152 USA","Mountain Home","TX","78058-2152","United States","817","(817)675-9352","","","info@cagba.org","http://www.cagba.org","","","0214","Sheep and Goats","1998","","","","None Reported","None Reported","","","Brochure","","No","None Reported","","","Goats","02","Environmental and Agricultural Organizations","","","","",""
"UZIVXZ893346993","Commemorative Air Force (CAF)","5661 Mariner Dr.","","","","","Dallas, TX 75237 USA","Dallas","TX","75237","United States","214","(214)330-1700","877-767-7175","(214)623-0014","lblock@cafhq.org","http://www.commemorativeairforce.org; http://www.facebook.com/CommemorativeAF; http://www.linkedin.com/in/commemorativeairforce; http://twitter.com/CAF1957","2721; 2741","Periodicals; Miscellaneous Publishing","","","1951","50","27037270","","None Reported","None Reported","","","Periodical","quarterly","","Yes","meeting","Yes","Aerospace","13","Hobby and Avocational Organizations","Mr. Stephan C. Brown","","","",""
"GOTQKY935815055","Committee on Accreditation for Educational Programs for the Emergency Medical Services Professions (CoAEMSP)","8301 Lakeview Pky., Ste. 111-312","","","","","Rowlett, TX 75088 USA","Rowlett","TX","75088","United States","214","(214)703-8445","","(214)703-8992","","http://www.coaemsp.org; http://www.facebook.com/Committee-on-Accreditation-for-the-EMS-Professions-CoAEMSP-192770610743951; http://twitter.com/coaemsp","","","8249","Vocational Schools Nec","1979","","60000","16","None Reported","None Reported","","","Newsletter","semiannual","No","None Reported","","","Medical Accreditation","05","Educational Organizations","George W. Hatch, Jr.","","","",""
"ASDNRI965440787","Communications Marketing Association (CMA)","PO Box 5680","","","","","Lago Vista, TX 78645 USA","Lago Vista","TX","78645","United States","512","(512)656-7747","","","info@cma-cmc.org","http://cma-cmc.org; http://www.linkedin.com/groups/4623017/profile","","","8742","Management Consulting Services","1973","1","50000","400","None Reported","None Reported","","","Newsletter","quarterly","No","Yes","conference","","Telecommunications","01","Trade, Business, and Commercial Organizations","Larry Weber","","","",""
"MWXTYT407252745","Connect Worldwide","PO Box 204086","","","","","Austin, TX 78720-4086 USA","Austin","TX","78720-4086","United States","","","","","","http://www.connect-community.org; http://www.facebook.com/Connect-World-Wide-234540629880; http://www.linkedin.com/company/connect; http://www.twitter.com/Connect_WW","","","3571; 3572; 3575; 3577; 7379; 3572; 3575; 3577; 7379; 3572; 3575; 3577; 7379; 3572; 3575; 3577; 7379","Electronic Computers; Computer Storage Devices; Computer Terminals; Computer Peripheral Equipment Nec; Computer Related Services Nec; Computer Storage Devices; Computer Terminals; Computer Peripheral Equipment Nec; Computer Related Services Nec; Computer Storage Devices; Computer Terminals; Computer Peripheral Equipment Nec; Computer Related Services Nec; Computer Storage Devices; Computer Terminals; Computer Peripheral Equipment Nec; Computer Related Services Nec","1961","15","5000000","","None Reported","Yes","Recognition","","Journal; Magazine; Newsletter","monthly; quarterly","Yes","Yes","meeting","Yes","Computer Users; Computers; Information Management","04","Engineering, Technological, and Natural and Social Sciences Organizations","Rob Lesan","","","",""
"YSTPKO302043789","Consortium for Advanced Management International (CAM-I)","6836 Bee Cave, Ste. 256","","","","","Austin, TX 78746 USA","Austin","TX","78746","United States","512","(512)296-6872","","","ashok@cam-i.org","http://www.cam-i.org; http://www.linkedin.com/groups/4362854/profile","","","7389","Business Services Nec","1972","20","","100","None Reported","None Reported","","","Proceedings","20/year","No","None Reported","","","Manufacturing","01","Trade, Business, and Commercial Organizations","Ashok Vadgama","","","",""
"HPESIG207521569","Constitution Society","11447 Woollcott St.","","","","","San Antonio, TX 78251 USA","San Antonio","TX","78251","United States","512","(512)299-5001","","","","http://constitution.org; http://www.facebook.com/group.php?gid=103746176345169; http://twitter.com/lex_rex","","","","","1994","","","","None Reported","None Reported","","","","","","None Reported","","","Constitution","03","Legal, Governmental, Public Administration, and Military Organizations","","","","",""
"WQNHDN099747777","Consumer Energy Alliance (CEA)","2211 Norfolk St., Ste. 410","","","","","Houston, TX 77098 USA","Houston","TX","77098","United States","713","(713)337-8800","","","info@consumerenergyalliance.org","http://consumerenergyalliance.org; http://www.facebook.com/ConsumerEnergyAlliance; http://www.linkedin.com/company/648164; http://twitter.com/ceaorg","8399","Social Services Nec","","","","","","","None Reported","None Reported","","","","","","None Reported","","","Energy; Conservation; Consumers; Fuel; Gases; Natural Resources","04","Engineering, Technological, and Natural and Social Sciences Organizations","David Holt","","","",""
"MFKYOO129918267","Cooper Institute (CI)","12330 Preston Rd.","","","","","Dallas, TX 75230 USA","Dallas","TX","75230","United States","972","(972)341-3200","800-635-7050","(972)341-3227","","http://www.cooperinstitute.org; http://www.facebook.com/TheCooperInstitute; http://www.linkedin.com/company/53317; http://twitter.com/cooperinstitute","","","8733","Noncommercial Research Organizations","1970","57","8487395","","None Reported","None Reported","","","Booklet; Handbook; Manual","","No","None Reported","","","Physical Fitness","08","Health and Medical Organizations","Kenneth H. Cooper, MD","","","",""
"IKFVHU674519047","COSA","9219 Katy Fwy., Ste. 212","","","","","Houston, TX 77024-1514 USA","Houston","TX","77024-1514","United States","","","866-899-2672","","info@cosa-recovery.org","http://www.cosa-recovery.org","","","","","1980","","","","None Reported","None Reported","","","Newsletter","","No","None Reported","","","Sex Addiction","07","Social Welfare Organizations","","","","",""
"XBTTLY059561031","Council of International Restaurant Real Estate Brokers (CIRB)","8350 N Central Expy., Ste. 1300","","","","","Dallas, TX 75206-1620 USA","Dallas","TX","75206-1620","United States","","","866-247-2123","(866)247-2329","cirbhq@cirb.net","http://www.cirb.net/about.html","","","6531; 5812","Real Estate Agents and Managers; Eating Places","1991","","","","None Reported","None Reported","","","","","","None Reported","","","Restaurant","01","Trade, Business, and Commercial Organizations","John T. Evans, II","","","",""
"AWXCHY017953121","Council on Contemporary Families (CCF)","305 E 23rd St., G1800","","","","","Austin, TX 78712 USA","Austin","TX","78712","United States","512","(512)471-8339","","","","http://contemporaryfamilies.org; http://www.facebook.com/contemporaryfamilies; http://twitter.com/ccf_families","","","","","1996","","","","None Reported","None Reported","","","","","","None Reported","","","Families","07","Social Welfare Organizations","","","","",""
"LNJUBT411456797","Craft Yarn Council of America (CYCA)","3740 N Josey Ln., Ste. 102","","","","","Carrollton, TX 75007 USA","Carrollton","TX","75007","United States","972","(972)325-7232","","(972)215-7333","","http://www.craftyarncouncil.com; http://www.facebook.com/craftyarncouncil; http://twitter.com/cycyarncouncil","","","5945","Hobby, Toy and Game Shops","1981","3","","18","None Reported","None Reported","","","","","","None Reported","","","Crafts","13","Hobby and Avocational Organizations","Mary Colucci","","","",""
"UFTHOL653728932","The Crustacean Society (TCS)","1320 Winding Way","","","","","New Braunfels, TX 78132 USA","New Braunfels","TX","78132","United States","210","(210)842-9152","","","tcs1921@hotmail.com","http://crustaceansociety.org; http://www.facebook.com/groups/386689814781817/","2721","Periodicals","8731; 8733","Commercial Physical Research; Noncommercial Research Organizations","1980","","175186","","None Reported","Yes","Recognition; Award","","Newsletter; Journal","6/year; semiannual","Yes","Yes","tradeshow","None Reported","Zoology","04","Engineering, Technological, and Natural and Social Sciences Organizations","","","","",""
"GIYRLO123241630","CUE: An Organization for Positive Employee Relations","900 NE Loop 410, Ste. D-103","","","","","San Antonio, TX 78209 USA","San Antonio","TX","78209","United States","210","(210)545-3499","866-409-4283","(210)545-4284","director@cueinc.com","http://www.cueinc.com; http://www.facebook.com/CUEIncsa; http://twitter.com/cueincsa","","","8742","Management Consulting Services","1977","","","300","None Reported","None Reported","","","Newsletter; Handbook","monthly; quarterly","No","None Reported","","","Unions","15","Labor Unions, Associations, and Federations","Michael Vandervort","","","",""
"XHMHZB803520107","Daedalian Foundation (DF)","PO Box 249","","","","","Universal City, TX 78148-0249 USA","Universal City","TX","78148-0249","United States","210","(210)945-2111","","(210)945-2112","info@daedalians.org","http://www.daedalians.org","","","8641","Civic and Social Associations","1959","3","511224","","None Reported","Yes","Scholarship","","Directory; Magazine","periodic; quarterly","Yes","None Reported","","","Aerospace","12","Veterans', Hereditary, and Patriotic Organizations","Maureen DeFelice","","","",""
"AWQAUS386989507","Dart Music International (DMI)","2704 E 2nd St.","","","","","Austin, TX 78702 USA","Austin","TX","78702","United States","707","(707)836-3278","","","info@dartmusicinternational.org","http://dartmusicinternational.org; http://www.facebook.com/PuraPharm-100603966652339; http://twitter.com/dartmusicint","","","7929","Entertainers and Entertainment Groups","2008","","9240","","None Reported","None Reported","","","","","","None Reported","","","Music; Arts; Art; Artists; Performing Arts; Entertainment; Entertainers","06","Cultural Organizations","Dave Dart","","","",""
"XYORYN203825984","Daughters of the Republic of Texas (DRT)","510 E Anderson Ln.","","","","","Austin, TX 78752 USA","Austin","TX","78752","United States","512","(512)339-1997","","(512)339-1998","headquarters@drtinfo.org","http://www.drt-inc.org","","","7299; 8412","Miscellaneous Personal Services Nec; Museums and Art Galleries","1891","136","1056783","6700","None Reported","None Reported","","","Newsletter","semiannual","No","None Reported","","","Genealogy","12","Veterans', Hereditary, and Patriotic Organizations","Dr. Betty J. Edwards","","","",""
"HAFAMO999744233","Decision Sciences Institute (DSI)","C.T. Bauer College of Business","334 Melchor Hall, Ste. 325","","","","Houston, TX 77204-6021 USA","Houston","TX","77204-6021","United States","713","(713)743-4815","","(713)743-8984","info@decisionsciences.org","http://www.decisionsciences.org; http://www.facebook.com/DecisionSciencesInstitute; http://www.linkedin.com/company/3765541; http://twitter.com/DSIHomeOffice","2721; 2741","Periodicals; Miscellaneous Publishing","8299; 8748","Schools and Educational Services Nec; Business Consulting Services Nec","1969","4","977381","","None Reported","Yes","Recognition; Award","","Proceedings; Journal; Periodical","January, April, July, and October; annual; quarterly","Yes","Yes","meeting","","Business Education","05","Educational Organizations","Joy Field","","","",""
