Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Publishers Directory") And Edition (41)  LIMITS: Database (Publishers Directory)"

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,Annual Sales,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"QXKHQR409203810","Arrow Point Press","605 SE 15th Ave.","","","","","Portland, OR 97214-2604 USA","Portland","OR","97214-2604","United States","","","","","","","10000","William H. Koethke","Twila Jacobson","","",""
"PDHPZK666176128","Arrowstar Publishing","10134 University Park Sta.","","","","","Denver, CO 80210-0134 USA","Denver","CO","80210-0134","United States","","","800-532-5557","","","","200000","Gregory Frazier","","","",""
"JTPGHI107865460","Artabras Inc.","c/o Abbeville Press, 137 Varick St.","137 Varick St., Ste. 504","","","","New York, NY 10013 USA","New York","NY","10013","United States","212","(212)366-5585","","(212)366-6966","abbeville@abbeville.com","http://www.abbeville.com","29819000","Briana Green","Nadine Winns","","",""
"TYKJPH925188894","Art Consulting: Scandinavia Books on Art & Architecture","25777 Punto de Vista Dr.","","","","","Monte Nido, CA 91302-2155 USA","Monte Nido","CA","91302-2155","United States","310","(310)456-8762","","(310)456-5714","info@nordicartbooks.com","http://www.nordicartbooks.com","","Lena Hansen","","","",""
"XBNIKP385991689","Artemis Creations Publishing","100 Chatham E","","","","","West Palm Beach, FL 33417-1964 USA","West Palm Beach","FL","33417-1964","United States","","","","","artemissaves@wmconnect.com","","338000","","","","",""
"UYLAGW961861671","Art from Latin America","PO Box 1948, Murray Hill Sta.","","","","","New York, NY 10156-0612 USA","New York","NY","10156-0612","United States","","","","(212)683-2136","","","","Gwendolyn K. Bennaton","","","",""
"HLUXZE979620338","Art Gallery of Windsor Inc.","401 Riverside Dr. W","","","","","Windsor, ON, Canada N9A 7J1","Windsor","ON","N9A 7J1","Canada","519","(519)977-0013","","(519)977-0776","email@artgalleryofwindsor.com","http://www.artcite.ca","","Paul Kalbfleisch","Joanne Fletcher","Francine Letourneau","",""
"CNYMQD544339554","Art History Publishers","5840 Collischan Rd.","","","","","Red Wing, MN 55066-1113 USA","Red Wing","MN","55066-1113","United States","","","","","","http://www.charlesbiederman.net","","Alfred H. Barr","","","",""
"YOKLGT161893830","Arthritis Foundation","1330 W Peachtree St., Ste. 100","","","","","Atlanta, GA 30309 USA","Atlanta","GA","30309","United States","404","(404)872-7100","","","","http://www.arthritis.org","","Ann M. Palmer","Peter W. C. Barnhart","Dr. Kenneth G. Baltes","Bruce Ashcroft",""
"PXIGRL274517959","Arthur Morgan Institute for Community Solutions","114 E Whiteman","","","","","Yellow Springs, OH 45387 USA","Yellow Springs","OH","45387","United States","937","(937)767-2161","866-767-2161","(937)767-2826","info@communitysolution.org","http://www.communitysolution.org","865000","Saul Greenberg","Richard Olson","Pat Murphy","Jeanna Breza","Faith Morgan"
"GALBND205854417","Artifact Press","286 Lenox Ave., Ste. 205","","","","","Oakland, CA 94610 USA","Oakland","CA","94610","United States","","","","","artifactsf@gmail.com","","200000","Renee Evans","Neil Alger","Michael Nicoloff","Melissa Benham","Jay Thomas"
"BYXELZ160462754","Art Image Publications","PO Box 160","","","","","Derby Line, VT 05830 USA","Derby Line","VT","05830","United States","","","800-361-2598","(800)559-2598","customer.service@artimagepublications.com","http://www.artimagepublications.com","","Yvan Boulerice","Rachel Ross","","",""
"IHTCZH279830459","Art Image Publications","PO Box 160","","","","","Derby Line, VT 05830 USA","Derby Line","VT","05830","United States","","","800-361-2598","(800)559-2598","customer.service@artimagepublications.com","http://www.artimagepublications.com","","Yvan Boulerice","Rachel Ross","","",""
"AQGIPS555459198","Art Institute of Chicago","111 S Michigan Ave.","","","","","Chicago, IL 60603-6404 USA","Chicago","IL","60603-6404","United States","312","(312)443-3600","","","","http://www.artic.edu/aic","","Andrew Rosenfield","Thomas J. Pritzker","Robert M. Levy","Julia E. Getzels","Frederick H. Waddell"
"MBZSAB224897994","Artisan Studio Design","PO Box 185","","","","","Falls Church, VA 22040-0185 USA","Falls Church","VA","22040-0185","United States","1; 703","(703)852-3906","","","","","","C. E. Laine","","","",""
"KTVCTZ685549113","Art Media Resources Inc.","1507 S Michigan Ave.","","","","","Chicago, IL 60605 USA","Chicago","IL","60605","United States","312","(312)663-5351","","(312)663-5177","info@artmediaresources.com","http://www.artmediaresources.com","250000","Shane Suvikapakornkul","","","",""
"FUHDYX500041866","Art Quilt Publishing Inc.","138 Lincoln St.","","","","","Lunenburg, NS, Canada B0J 2C0","Lunenburg","NS","B0J 2C0","Canada","902","(902)640-2220","877-272-2220","","swim@ican.net","http://www.laurieswim.com","","Larry Goldstein","","","",""
"QSGKKA267139052","Arts Council of Indianapolis","924 N Pennsylvania St.","","","","","Indianapolis, IN 46204 USA","Indianapolis","IN","46204","United States","317","(317)631-3301","","(317)624-2559","indyarts@indyarts.org","http://indyarts.org","","Yvonne Shaheen","Vaughn Hickman","Shawn Mulholland","Mark Varnau","Erik Johnson"
"MIRPKM554314647","Arts End Books","15 Main St.","","","","","Spencer, MA 01562-2132 USA","Spencer","MA","01562-2132","United States","","","","","artsend@sover.net","http://www.artsendbooks.com","","Marshall Brooks","James T. Farrell","Herschel Silverman","",""
"LCTGJN939374756","Arts Inter-Media/ Dance Collection Danse","301-149 Church St.","","","","","Toronto, ON, Canada M5B 1Y4","Toronto","ON","M5B 1Y4","Canada","416","(416)365-3233","800-665-5320","(416)365-3169","talk@dcd.ca","http://www.dcd.ca","","Selma Odom","Robert Johnston","Pamela Grundy","Nadia Potts","Miriam Adams"
"AQKHUZ901571870","Art Source","1040 Ronsa Ct.","","","","","Mississuaga, ON, Canada L4W 3Y4","Mississuaga","ON","L4W 3Y4","Canada","905","(905)475-8181","800-387-9633","(905)479-4966","","http://www.artsource.ca","","Victoria Fenninger","","","",""
"GRDLKE278893054","Arx Publishing L.L.C.","PO Box 1333","","","","","Merchantville, NJ 08109 USA","Merchantville","NJ","08109","United States","856","(856)486-1310","","(856)665-0170","info@arxpub.com","http://www.arxpub.com","","Jamie Salvucci","Claudio Salvucci","","",""
"UDGHMS744395015","ASAE: The Center for Association Leadership","1575 I St. NW","","","","","Washington, DC 20005-1103 USA","Washington","DC","20005-1103","United States","202","(202)371-0940","888-950-ASAE","(202)371-8315","asaeservice@asaecenter.org","http://www.asaecenter.org","16270000","Terra Berthau","Susan Robertson","John Graham","Christin Berry","Arlene A. Pietranton"
"AAZLXW563864431","Ashar Press","1002 Elk Hills Dr.","","","","","Galt, CA 95632 USA","Galt","CA","95632","United States","209","(209)745-2756","","(209)745-7538","","","","Beverly Breakey Russell","Tammy J. Deruyter","Loriana Thompson","Gregg Lewis","Craig Thompson"
"LRJEYG410301907","Asheville Area Chamber of Commerce","36 Montford Ave.","","","","","Asheville, NC 28801-2528 USA","Asheville","NC","28801-2528","United States","828","(828)258-6101","","","member@ashevillechamber.org","http://www.ashevillechamber.org","","Kit Cramer","Ben Teague","","",""
"VEKBIH764904243","Ashgate Publishing Co.","110 Cherry St., Ste. 3-1","","","","","Burlington, VT 05401 USA","Burlington","VT","05401","United States","802","(802)865-7641","800-535-9544","(802)865-7847","online@ashgate.com","http://www.ashgate.com","6000000","Brandon Taylor","Richard Hakluyt","Lori A. Brown","",""
"JACSHV180076289","Ashland Poetry Press","Bixler Center for the Humanities","Ashland University","401 College Ave.","","","Ashland, OH 44805 USA","Ashland","OH","44805","United States","419","(419)289-5957","800-547-1199","(419)289-5999","app@ashland.edu","http://www.ashlandpoetrypress.com","","Deborah Fleming","Sarah M. Wells","","",""
"ZWWRLT149618377","The Ashley Cos.","700 Powers Bldg., 16 W Main St.","","","","","Rochester, NY 14614-1601 USA","Rochester","NY","14614-1601","United States","585","(585)454-3915","","(585)454-3414","","http://www.ashleyco.com","","Stephen B. Ashley","Raymond H. Drake","Mark D. Stevens","Joan F. Viele","Jonathan M. Ashley"
"IUDQRX593242285","Ash Phoenix Books","PO Box 3285","","","","","Chester, VA 23831-8461 USA","Chester","VA","23831-8461","United States","","","888-537-7691","","sales@ashphoenixbooks.com","http://www.ashphoenixbooks.com","","Lauren Ferrell","Kristy Tallman","","",""
"BYDXOX279151695","Ash Tree Publishing","PO Box 64","","","","","Woodstock, NY 12498 USA","Woodstock","NY","12498","United States","845","(845)246-8081","800-667-3399","(845)246-8081","info@ashtreepublishing.com","http://www.ashtreepublishing.com","20000","Susan Weed","Michael Dattorre","","",""
"SLXDCW121996875","Asia Marketing & Management","2014 Naudain St.","","","","","Philadelphia, PA 19146-1317 USA","Philadelphia","PA","19146-1317","United States","215; 267","(215)735-7670","","","jameschan@asiamarketingmanagement.com","http://www.asiamarketingmanagement.com","217000","James W. Chan","","","",""
"YCHXJJ832255127","Asia Pacific Foundation of Canada","220-890 W Pender St.","","","","","Vancouver, BC, Canada V6C 1J9","Vancouver","BC","V6C 1J9","Canada","604","(604)684-5986","","(604)681-1370","info@asiapacific.ca","http://www.asiapacific.ca","12890000","Mr. Yuen Pau Woo","Kenny Zhang","Kenneth S. Courtis","John H. McArthur","Jill Price"
"RCVDGJ114045827","Asia Policy Point","1730 Rhode Island Ave. NW, Ste. 414","","","","","Washington, DC 20036 USA","Washington","DC","20036","United States","202","(202)822-6040","","(202)822-6044","asiapolicyhq@gmail.com","http://www.jiaponline.org","519000","Mindy L. Kotler","Rosanna Phelan","Ronald Morse","Robert L. Stern","Meera Fickling"
"OQUBFE439115566","Asikari Publishing L.L.C.","PO Box 478","","","","","Lexington, VA 24450-0478 USA","Lexington","VA","24450-0478","United States","717","(717)914-0948","","(563)405-5261","info@asikaripublishing.com","http://www.asikaripublishing.com/index.html","","Lenia Queen","","","",""
"XHLSAL731295696","ASIS International","1625 Prince St.","","","","","Alexandria, VA 22314 USA","Alexandria","VA","22314","United States","703","(703)519-6200","","(703)519-6299","asis@asisonline.org","http://www.asisonline.org/Pages/default.aspx","7000000","Eduard J. Emde","Susan Melnicove","Lisa Murphy","Joseph R. Granger","Jeffrey A. Slotnick"
"ESJCSH301417932","Aslan Publishing","2490 Black Rock Tpke., Ste. 342","","","","","Fairfield, CT 06825 USA","Fairfield","CT","06825","United States","203","(203)372-0300","800-786-5427","(203)374-4766","information@aslanpublishing.com","http://www.aslanpublishing.com","275000","Sandy Satterwaite","Harold Levine","Barbara Levine","",""
"MHYZRE389190163","Aspen Institute Publications Office","109 Houghton Lab Ln.","","","","","Queenstown, MD 21658 USA","Queenstown","MD","21658","United States","410","(410)820-5433","800-410-3463","(410)827-5928","info@aspenbsp.org","http://www.aspeninstitute.org","","Elliot Gerson","Amy Margerum","Henry Crown Fellowship","Walter Isaacson","Susan Sherwin"
"XTMSCE410245109","Aspen Publishers, Inc. (Frederick, Maryland)","7201 McKinney Cir.","","","","","Frederick, MD 21704 USA","Frederick","MD","21704","United States","301","(301)698-7100","800-234-1660","(800)901-9075","order.entry@aspenpublishers.com","http://www.aspenpublishers.com","6673000","Brendan Johnston","Paul Gibson","Mark Dorman","Kevin Entricken","Gustavo Dobles"
"JNXHCX690518456","Asphalt Institute","2696 Research Park Dr.","","","","","Lexington, KY 40511-8480 USA","Lexington","KY","40511-8480","United States","859","(859)288-4960","","(859)288-4999","info@asphaltinstitute.org","http://www.asphaltinstitute.org","390000","Mike Beavin","Mike Anderson","Gary Irvine","Brian Clark","Bob Humer"
"EXGEUY192666821","Assembling Press","Prince St.","","","","","New York, NY 10012-0008 USA","New York","NY","10012-0008","United States","","","","","","","","Richard Kostelanetz","Charles Doria","","",""
"YAKRKR117516202","Associated Media Companies Ltd.","PO Box 489","","","","","Gleneden Beach, OR 97388-0489 USA","Gleneden Beach","OR","97388-0489","United States","541","(541)764-4233","800-258-0615","(541)764-4233","info@vipaddress.com","http://www.vipaddress.com","","Rawn Rhodes","Michael J. Maloy","LeeAnn Nelson","James M. Wiggins","Adele M. Cooke"
"QSINFC211092607","Associates in Thanatology","115 Blue Rock Rd.","","","","","South Yarmouth, MA 02664 USA","South Yarmouth","MA","02664","United States","508","(508)394-6520","","","","","","Richard W. Boerstler","Dorothy P. Boerstler","","",""
"GBUDCO101917770","Associates of the James Ford Bell Library","472 Wilson Library, 309 19th Ave. S","309-19th Ave. S","","","","Minneapolis, MN 55455 USA","Minneapolis","MN","55455","United States","","","","(612)626-9353","","http://www.bell.lib.umn.edu/BellAssociatesHome.htm","","Wilson Yates","Victoria Keller","Margaret Borg","Francie Nelson","Ford W. Bell"
"TIQADJ180791546","Association Canadienne de Parachutisme Sportif","204-1468 Laurier St.","","","","","Rockland, ON, Canada K4K 1C7","Rockland","ON","K4K 1C7","Canada","613","(613)419-0908","","(613)916-6008","office@cspa.ca","http://www.cspa.ca","5000","Debbie Flanagan","Nicolas Huard","Jay Vanstone","",""
"ULBZMZ656838186","Association Canadienne du Diabete","1400-522 University Ave.","","","","","Toronto, ON, Canada M5G 2R5","Toronto","ON","M5G 2R5","Canada","416","(416)363-3373","","","info@diabetes.ca","http://www.diabetes.ca","","Suzanne Deuel","Ram Krishna","Michael Swartz","Maureen Kotopski","Jan Cochrane"
"LJCBMA440655850","Association des Traducteurs et Traductrices Littéraires du Canada","LB 601 Concordia University","1455, boul. de Maisonneuve Ouest","","","","Montreal, QC, Canada","Montreal","QC","9998462","Canada","514","(514)848-2424","","","info@attlc-ltac.org","http://www.attlc-ltac.org/fr/node","","Nicola Danby","Jean Simard","","",""
"EDZDTH438674670","Association for Consumer Research","11 E Superior St., Ste. 210","","","","","Duluth, MN 55802 USA","Duluth","MN","55802","United States","218","(218)726-7853","","(218)726-8016","acr@acrwebsite.org","http://www.acrwebsite.org","60000","Rajiv Vaidyanathan","Amna Kirmani","","",""
"OHVFMV989844076","Association for Educational Communications and Technology","320 W 8th St., Ste. 101","","","","","Bloomington, IN 47404 USA","Bloomington","IN","47404","United States","812","(812)335-7675","877-677-2328","(812)335-7678","aect@aect.org","http://www.aect.org/newsite","875000","Trey Martindale","Steven M. Ross","Sharon Smaldino","Hans Wennberg","David Wiley"
"OMELQV645238928","Association for Education in Journalism and Mass Communication","234 Outlet Pointe Blvd., Ste. A","","","","","Columbia, SC 29210-5667 USA","Columbia","SC","29210-5667","United States","803","(803)798-0271","","(803)772-3509","aejmchq@aol.com","http://www.aejmc.org","1108000","Pamella W. Price","Lillian Coleman","Janet Harley","Fred L. Williams","Felicia Greenlee Brown"
"HMJQUA514945444","Association for Information and Image Management International","1100 Wayne Ave., Ste. 1100","","","","","Silver Spring, MD 20910 USA","Silver Spring","MD","20910","United States","301","(301)587-8202","800-477-2446","(301)587-2711","aiim@aiim.org","http://www.aiim.org","7190000","John Reinhart","Bryant Duhon","Bob Zagami","Beth Mayhew","John A. Lacy"
"PDMMUZ498575510","Association for Preservation Technology International","3085 Stevenson Dr., Ste. 200","","","","","Springfield, IL 62703 USA","Springfield","IL","62703","United States","217","(217)529-9039","","(888)723-4242","info@apti.org","http://www.apti.org","","Gretchen Pfaehler","Nathela Chatara","Diana S. Waite","",""
"EQFXSA116908240","Association for Recorded Sound Collections","c/o Nathan Georgitis, Executive Director","Knight Library","1299 University of Oregon","","","Eugene, OR 97403-1299 USA","Eugene","OR","97403-1299","United States","","","","","","http://www.arsc-audio.org","","Nathan Georgitis","","","",""
"EESTNK960133042","Association for Slavic, East European, and Eurasian Studies","University of Pittsburgh","203C Bellefield Hall","","","","Pittsburgh, PA 15260-6424 USA","Pittsburgh","PA","15260-6424","United States","412","(412)648-9911","","(412)648-9815","aseees@pitt.edu","http://www.aseees.org","1527000","Wendy Walker","Dr. Susan Linz","Mark D. Steinberg","Lynda Park",""
"MTYGTX612104995","Association for the Advancement of Medical Instrumentation","4301 N Fairfax Dr., Ste. 301","","","","","Arlington, VA 22203-1633 USA","Arlington","VA","22203-1633","United States","703","(703)525-4890","","(703)276-0793","customerservice@aami.org","http://www.aami.org","900000","Patrick Bernat","Joe Bremner","Emilee Hughes","Cliff Bernier","Mary Logan"
"NXUTME468951958","Association for Women's Rights in Development","215 Spadina Ave., Ste. 150","","","","","Toronto, ON, Canada M5T 2C7","Toronto","ON","M5T 2C7","Canada","416","(416)594-3773","","(416)594-0330","","http://www.awid.org","","Meghan Babin","Lydia Alpizar Duran","Veronica Delgado","Srilatha Batliwala","Natalia Cardona"
"HVVHBI444387142","Association for Women in Science","1321 Duke St., Ste. 210","","","","","Alexandria, VA 22314 USA","Alexandria","VA","22314","United States","703","(703)894-4490","","(703)894-4489","awis@awis.org","http://www.awis.org","","Patricia Chinogwenya","Meredith Gibson","Laurel Haak","Erin Dimenna","Cindy Simpson"
"YXJRCV599060429","Association Francophone pour le Savoir-Acfas","425 de la Gauchetiere St. E","","","","","Montreal, QC, Canada H2L 2M7","Montreal","QC","H2L 2M7","Canada","","","","","","http://www.acfas.ca","","Yolette Riche","Micheline Lacombe","Julie Dirwimmer","Johanne Lebel","Isabelle Gandilhon"
"EQSNWT204162682","Association of American Colleges and Universities","1818 R St. NW","","","","","Washington, DC 20009 USA","Washington","DC","20009","United States","202","(202)387-3760","800-297-3775","(202)265-9532","","http://www.aacu.org","75000","Terrel Rhodes","Suzanne Hyers","Susan Elrod","Shelley Johnson Carey","Michelle Hannahs"
"GFKBNB428203753","Association of American Feed Control Officials","1800 S Oak St., Ste. 100","","","","","Champaign, IL 61820-6974 USA","Champaign","IL","61820-6974","United States","217","(217)356-4221","","(217)398-4119","aafco@aafco.org","http://www.aafco.org","","Ali Kashani","Robert Geiger","","",""
"WHOAIV060443965","Association of American Law Schools","1614 20th St. NW","","","","","Washington, DC 20009-1001 USA","Washington","DC","20009-1001","United States","202","(202)296-8851","","(202)296-8869","aals@aals.org","http://www.aals.org","4004000","Susan Westerberg Prager","Wendy Shapiro Livingston","Tracie L. Thomas","Rose M. Chiu","Jane M. La Barbera"
"JJOADN248563026","Association of American Military Uniform Collectors","PO Box 1876","","","","","Elyria, OH 44036 USA","Elyria","OH","44036","United States","440","(440)365-5321","","","aamucfl@comcast.net","http://www.naples.net/clubs/aamuc","","Gil Sanow","","","",""
"LWLCWL656085082","Association of American Publishers","71 5th Ave., 2nd Fl.","","","","","New York, NY 10003-3004 USA","New York","NY","10003-3004","United States","212; 202","(212)255-0200","","(212)255-7007","info@publishers.org","http://www.publishers.org","","Tina Jordan","Sara Pinto","John Tagler","Jay Diskey","Gail Kump"
"PKHXXP716426001","Association of American Railroads","425 3rd St. SW","","","","","Washington, DC 20024 USA","Washington","DC","20024","United States","202","(202)639-2100","","(202)639-2558","pubsrvcs@aar.org","http://www.aar.org","","Patricia Reilly","Mark McRoberts","Lauren Jones Sandberg","Kelly Donley","Jeff Marsh"
"CPLRCZ364738949","Association of American State Geologists","600 E Boulevard Ave.","","","","","Bismarck, ND 58505-0840 USA","Bismarck","ND","58505-0840","United States","701","(701)328-8000","","","","http://www.stategeologists.org","","Joe Gillman","James C. Cobb","David Spears","Rex Buchanan","Dave Norman"
"AMOKJW091851243","Association of Bay Area Governments","101 8th St.","","","","","Oakland, CA 94604-2050 USA","Oakland","CA","94604-2050","United States","510","(510)464-7900","","","info@abag.ca.gov","http://www.abag.ca.gov","34968000","Brian Kirking","Ezra Rapport","Fred Castro","Mark Luce","Julie Pierce"
"JYJOTB502656558","The Association of Boarding Schools","1 N Pack Sq., Ste. 301","","","","","Asheville, NC 28801 USA","Asheville","NC","28801","United States","828","(828)258-5354","","(828)258-6428","tabs@tabs.org","http://www.boardingschools.com","","Susan Nelson","Steve Banks","","",""
"AHJIDT045133832","Association of Canadian Map Libraries and Archives","c/o Rosa Orlandini, President","102 Scott Library","York University","4700 Keele St.","","Toronto, ON, Canada M3J 1P3","Toronto","ON","M3J 1P3","Canada","416","(416)736-2100","","","president@acmla-acacc.ca","http://www.acmla-acacc.ca","10000","Rosa Orlandini","","","",""
"XUECXD049299328","Association of Canadian Publishers","174 Spadina Ave., Ste. 306","","","","","Toronto, ON, Canada M5T 2C2","Toronto","ON","M5T 2C2","Canada","416","(416)487-6116","","(416)487-8815","admin@canbook.org","http://www.publishers.ca","","Nicole Fera","Margaret Eaton","Kate Edwards","John Pelletier","Jack Wayne"
"KCMHTY100418282","Association of Catholic Booksellers","491 Prestwick Ave. SE","","","","","Grand Rapids, MI 49546 USA","Grand Rapids","MI","49546","United States","616","(616)956-5044","","","","","","Daniel J. Pierson","Anne Simms","","",""
"NOSULL187580148","Association of College and Research Libraries","50 E Huron St.","","","","","Chicago, IL 60611 USA","Chicago","IL","60611","United States","312","(312)280-2523","800-545-2433","(312)280-2520","acrl@ala.org","http://www.ala.org/acrl","92000","Mary Ellen K. Davis","Karen A. Williams","","",""
"JMIVRV113422060","Association of Collegiate Schools of Architecture","1735 New York Ave. NW, 3rd Fl.","","","","","Washington, DC 20006 USA","Washington","DC","20006","United States","202","(202)785-2324","","(202)628-0448","info@acsa-arch.org","http://www.acsa-arch.org","","Michael J. Monti","","","",""
"WRLWJP651239376","Association of Cultural Executives","563 Krug St.","","","","","Kitchener, ON, Canada N2B 1L8","Kitchener","ON","N2B 1L8","Canada","519","(519)579-8564","888-363-3591","(519)743-6773","info@acecontact.org","http://ccm.uwaterloo.ca/ace","","Warren Garrett","Susan Habkirk","Rowley Mossop","Lynn Meloccaro McGuigan","Jane Needles"
"WQWISE706658464","Association of Deans and Directors of University Colleges & Undergraduate Studies","PO Box 3948","","","","","Parker, CO 80134 USA","Parker","CO","80134","United States","720","(720)496-4974","844-705-3293","","adanddoffice@gmail.com","http://www.adandd.org","","Kathy Johnson","","","",""
"TOAOSE945028361","Association of Energy Service Companies","14531 FM 529, Ste. 250","","","","","Houston, TX 77095 USA","Houston","TX","77095","United States","713","(713)781-0758","800-692-0771","(713)781-7542","jyancy@aesc.net","http://www.aesc.net","2149000","Susan Parks","Patty Rogers-Jordan","Nikki James","Kenny Jordan","Jim Yancy"
"GUPARY682514309","Association of Gospel Rescue Missions","7222 Commerce Center Dr., Ste. 120","","","","","Colorado Springs, CO 80919 USA","Colorado Springs","CO","80919","United States","719","(719)266-8300","800-4RE-SCUE","(719)266-8600","info@agrm.org","http://www.agrm.org/agrm/default.asp","8971000","Nicole Daniels","John Ashmen","","",""
"GLSHZG825361271","Association of Government Accountants","2208 Mt. Vernon Ave.","","","","","Alexandria, VA 22301-1314 USA","Alexandria","VA","22301-1314","United States","703","(703)684-6931","800-AGA-7211","(703)548-9367","agamembers@agacgfm.org","http://www.agacgfm.org","2716000","","","","",""
"LVWLFT327145918","Association of Idaho Cities","3100 S Vista Ave., Ste. 310","","","","","Boise, ID 83705-7335 USA","Boise","ID","83705-7335","United States","208","(208)344-8594","","","","http://www.idahocities.org","","Leon Duce","Justin Ruen","Gaydawn Oyler","Greg Lanting",""
"APNFEV976165130","Association of Major City Building Officials","505 Huntmar Park Dr., Ste. 210","","","","","Herndon, VA 20170-5139 USA","Herndon","VA","20170-5139","United States","703","(703)481-2038","800-DOC-CODE","(703)481-3596","","http://www.arcat.com/arcatcos/cos36/arc36918.html","","Shyam Sunder","Robert C. Wible","Claude Cooper","Carolyn Fitch",""
"ECVJQG403907947","Association of Public-Safety Communications Officials International","351 N Williamson Blvd.","","","","","Daytona Beach, FL 32114-1112 USA","Daytona Beach","FL","32114-1112","United States","386","(386)322-2500","888-272-6911","(386)322-2501","apco@apcointl.org","http://www.apcointl.org","69519000","Farokh Latif","D. Terry Hall","Georggina Smith","",""
"RUZGHB770878308","Association of State and Interstate Water Pollution Control Administrators","1221 Connecticut Ave. NW, 2nd Fl.","","","","","Washington, DC 20036-2608 USA","Washington","DC","20036-2608","United States","202","(202)756-0600","","(202)756-0605","","http://www.neiwpcc.org","","Walter Baker","","","",""
"AXOOWL421279143","Association of Theological Schools","10 Summit Park Dr.","","","","","Pittsburgh, PA 15275-1110 USA","Pittsburgh","PA","15275-1110","United States","412","(412)788-6505","","(412)788-6510","ats@ats.edu","http://www.ats.edu","","James Hudnut-Beumler","Linda D. Trostle","Stephen R. Graham","Janice Edwards-Armstrong","Daniel O. Aleshire"
"WHLXYE756212055","Assorted Book Co.","230 5th Ave., Ste. 1112","","","","","New York, NY 10001 USA","New York","NY","10001","United States","212","(212)684-9000","","","","","","","","","",""
"YYWSLM828070739","Astor Street Publishing Corp.","PO Box 18396","","","","","Encino, CA 91416-8396 USA","Encino","CA","91416-8396","United States","818","(818)761-3776","","","","","2900000","","","","",""
"WRJIZZ371853155","Astronomy Dept. (New Haven, Connecticut)","J.W. Gibbs Laboratory","260 Whitney Ave., 2nd Fl., Yale University","","","","New Haven, CT 06511 USA","New Haven","CT","06511","United States","203","(203)432-3000","","(203)432-5048","kimm@astro.yale.edu","http://www.astro.yale.edu","36700000","Susan Hart","Susan de Long","Kim Monocchi","Ann Giangarra","Susan DeLong, Sr."
"VNIKMK851247621","At Bay Press","RPO Tuxedo Pk.","","","","","Winnipeg, MB, Canada R3P 2G9","Winnipeg","MB","R3P 2G9","Canada","204","(204)489-6658","","","atbaypress@gmail.com","http://www.atbaypress.com","","Alana Brooker","","","",""
"QBPEXA524617497","Athelstan Publications","5925 Kirby Dr., Ste. E 464","","","","","Houston, TX 77005 USA","Houston","TX","77005","United States","713","(713)523-2837","800-598-3880","(713)523-6543","info@athel.com","http://www.athel.com","2640000","Dr. Michael Barlow","M. Elsom-Cook","J. Gade","J. Fox","D. Davey"
"BMGVCL994738846","Athena Scientific","PO Box 805","","","","","Nashua, NH 03061-0805 USA","Nashua","NH","03061-0805","United States","617","(617)489-3097","","(617)489-2017","info@athenasc.com","http://www.athenasc.com","","","","","",""
"MXCEBF578879097","Athletic Guide Publishing","509 S Central Ave.","","","","","Flagler Beach, FL 32136-1050 USA","Flagler Beach","FL","32136-1050","United States","386","(386)439-2250","800-255-1050","","","http://www.prepschoolhockeyguide.com","2500000","Thomas E. Keegan","Tom Keegan","","",""
"TUMGVX904786147","Atlanta/Fulton League of Women Voters","PO Box 420705","","","","","Atlanta, GA 30342 USA","Atlanta","GA","30342","United States","404","(404)577-8683","","","office@lwvaf.org","http://www.lwvaf.org","","Helen Price","Cindy Striplin","Karlise Grier","",""
"ICTEPK636718157","Atlantic Boating Almanac","Three Church Cir., Ste. 109","","","","","Annapolis, MD 21401 USA","Annapolis","MD","21401","United States","","","800-481-6277","(800)487-6277","editor@prostarpublications.com","http://www.prostarpublications.com","1000000","Peter L. Griffes","","","",""
"UIXKZP106980423","Atlantic City News Agency","101 S Dr. Martin L King Jr.","","","","","Atlantic City, NJ 08401-6836 USA","Atlantic City","NJ","08401-6836","United States","609","(609)344-9444","","(609)347-9547","","","520000","Stuart Weiss","","","",""
"WOTHYI010933279","Atlantic Provinces Economic Council","5121 Sackville St., Ste. 500","","","","","Halifax, NS, Canada B3J 1K1","Halifax","NS","B3J 1K1","Canada","902","(902)422-6516","","(902)429-6803","info@apec-econ.ca","http://www.apec-econ.ca","","Patrick Brannon","Elizabeth Beale","Jo Mark Zurel","",""
"CVCFOY180114828","Atlantic Publishing Co.","1210 SW 23rd Pl.","","","","","Ocala, FL 34471-1825 USA","Ocala","FL","34471-1825","United States","352","(352)622-1825","800-814-1132","(352)622-1875","sales@atlantic-pub.com","http://www.atlantic-pub.com","13200000","Meg Buchner","Douglas R. Brown","Amanda Miller","",""
"DDPWXW519751866","Atlas & Co.","15 W 26th St., 2nd Fl.","","","","","New York, NY 10010 USA","New York","NY","10010","United States","212","(212)234-3100","","(212)888-3650","info@atlasandco.com","http://atlasandco.com","","","","","",""
