Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Gale Directory of Publications and Broadcast Media") And Edition (154)  LIMITS: Database (Gale Directory of Publications and Broadcast Media)"

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL
"CWFTOM554290030","Alamo Public Telecommunications Council","501 Broadway","","","","","San Antonio, TX 78215 USA","San Antonio","TX","78215","United States","210","(210)270-9000","800-627-8193","(210)270-9078","info@klrn.org","http://www.klrn.org"
"UPWAGS877098269","Al-Anon Family Group Headquarters--The Forum","1600 Corporate Landing Pky.","","","","","Virginia Beach, VA 23454-5617 USA","Virginia Beach","VA","23454-5617","United States","757","(757)563-1600","","(757)563-1656","wso@al-anon.org","http://www.al-anon.alateen.org/the-forum-magazine"
"DGUOMN674344419","Alaska Business Monthly","501 W Northern Lights Blvd., Ste. 100","","","","","Anchorage, AK 99503 USA","Anchorage","AK","99503","United States","","","800-770-4373","(907)279-2900","editor@akbizmag.com; press@akbizmag.com","http://www.akbizmag.com"
"TEJEZG286058766","Alaska Business Monthly","501 W Northern Lights Blvd., Ste. 100","","","","","Anchorage, AK 99503 USA","Anchorage","AK","99503","United States","","","800-770-4373","(907)279-2900","editor@akbizmag.com; press@akbizmag.com","http://www.akbizmag.com"
"EAXDCR738115609","Alaska Contractor Magazine","9955 Black Mountain Rd.","","","","","San Diego, CA 92126 USA","San Diego","CA","92126","United States","858","(858)695-9600","800-854-2935","","edit@marcoa.com","http://www.aqppublishing.com/pub_businessMagazine.html#AKContractorl"
"GUNPOG266944861","Albany Area Advertiser","900 Circle 75 Pky., Ste. 1600","","","","","Atlanta, GA 30339 USA","Atlanta","GA","30339","United States","770","(770)955-3535","","(770)955-3599","salesinfo@echo-media.com","http://echomedia.com/medias/details/5245/albany+area+advertiser"
"JXZLWJ781221155","Alberta Beef Magazine","Suite 230, 6025 - 12th Street SE","","","","","Calgary, AB, Canada T2H 2K1","Calgary","AB","T2H 2K1","Canada","","","","","beefmag@telusplanet.net","http://www.albertabeef.ca"
"XFIQAY663746092","The Alberta Doctors' Digest","12230 106 Ave. NW","","","","","Edmonton, AB, Canada T5N 3Z1","Edmonton","AB","T5N 3Z1","Canada","780","(780)482-2626","800-272-9680","(780)482-5445","amamail@albertadoctors.org","http://www.albertadoctors.org/media-publications/publications/digest"
"KMKDAR738365658","Alberta History","Box 4035, Station C","Ste. 622, 304 - 8th Ave. SW","","","","Calgary, AB, Canada T2P 1C5","Calgary","AB","T2P 1C5","Canada","403","(403)261-3662","","(403)269-6029","info@albertahistory.org","http://albertahistory.org/calgary/publications"
"QWJNFO588429273","The Alberta Journal of Educational Research","University of Alberta","Faculty of Education","845 Education Center S","","","Edmonton, AB, Canada T6G 2G5","Edmonton","AB","T6G 2G5","Canada","780","(780)492-7941","","(780)492-0236","ajer@ualberta.ca","http://www.ajer.ca"
"BWYJLV995677699","Alberta Oil","10259 105 St.","","","","","Edmonton, AB, Canada T5J 1E3","Edmonton","AB","T5J 1E3","Canada","","","866-227-4276","","","http://www.albertaoilmagazine.com"
"LLZMAF812718544","Alberta Sweetgrass","13245 - 146 St.","","","","","Edmonton, AB, Canada T5L 4S8","Edmonton","AB","T5L 4S8","Canada","780","(780)455-2700","","(780)455-7639","market@ammsa.com","http://www.ammsa.com/publications/alberta-sweetgrass; http://www.ammsa.com/content/publications"
"NUFVTF785900011","Alberta Venture","10259 105 St.","","","","","Edmonton, AB, Canada T5J 1E3","Edmonton","AB","T5J 1E3","Canada","","","866-227-4276","","","http://albertaventure.com"
"YXDFRR627631860","Albert Lea Tribune","808 W Front St.","","","","","Albert Lea, MN 56007 USA","Albert Lea","MN","56007","United States","507","(507)373-1411","","(507)373-0333","","http://www.albertleatribune.com"
"ESGLUE271088215","Albion News","328 W Church St.","","","","","Albion, NE 68620 USA","Albion","NE","68620","United States","402","(402)395-2115","","","","http://www.albionnewsonline.com"
"OOHLLR929314355","Alborada-FM","Av. Libertad","","","","","Chillan 4590000, Chile","Chillan","","4590000","Chile","","56 42 216-009","","56 42 216-009","","http://www.radioalborada.cl"
"KELSKI292907547","Albuquerque Express","","","","","","Albuquerque, NM USA","Albuquerque","NM","","United States","","","","","","http://www.albuquerqueexpress.com"
"REWMVL675735115","Alcalde","2110 San Jacinto Blvd.","","","","","Austin, TX 78712 USA","Austin","TX","78712","United States","512","(512)840-5700","","(512)870-9529","onlineservices@alumni.utexas.edu; alumni@alumni.utexas.edu","http://alcalde.texasexes.org"
"TSWGFW563854421","Alcheringa","PO Box 50007","","","","","S-104 05 Stockholm, Sweden","Stockholm","","S-104 05","Sweden","","46 8 51954142","","46 8 51954221","online.sales@tandf.co.uk; orders@taylorandfrancis.com; enquiry@tandf.co.uk","http://www.tandfonline.com/toc/talc20/current#.vrjmftjg9fk"
"NGLTKR180515118","Alcoholism","Two Commerce Sq.","2001 Market St.","","","","Philadelphia, PA 19103 USA","Philadelphia","PA","19103","United States","215","(215)521-8300","800-638-3030","(215)521-8902","isbra@isbra.com","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-0277"
"PHDTYG997068698","Alcoholism","7801 N Lamar Blvd., Ste. D-89","","","","","Austin, TX 78752-1038 USA","Austin","TX","78752-1038","United States","512","(512)454-0022","","(512)454-0812","isbra@isbra.com","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-0277"
"HRYOTV310516122","Alcoholism Treatment Quarterly","Health Sciences Center","Texas Tech University","3601 4th St.","","","Lubbock, TX 79430 USA","Lubbock","TX","79430","United States","","","","","education@routledge.com; sales@tandf.com.sg; online.sales@tandf.co.uk; book.orders@tandf.co.uk; informalaw@routledge.com","http://www.tandfonline.com/loi/watq"
"WPBRDO361535242","Alcona County Review","111 Lake St.","","","","","Harrisville, MI 48740 USA","Harrisville","MI","48740","United States","989","(989)724-6384","877-873-8439","(989)724-6655","editor@alconareview.com","http://www.alconareview.com"
"VFOVGJ577896489","Aldergrove Star","27118 Fraser Hwy.","","","","","Aldergrove, BC, Canada V4W 3P6","Aldergrove","BC","V4W 3P6","Canada","","","","","","http://www.aldergrovestar.com"
"MUMXZM055039566","ALEA","Estrada Dona Castorina 110","","","","","22460-320 Rio de Janeiro, RJ, Brazil","Rio de Janeiro","","22460-320","Brazil","","55 212 5295-000","","55 212 5124-115","matheus@impa.br; nachbin@impa.br","http://alea.impa.br/english/index_v12.htm"
"TTKJOC674343446","Alert","PO Box 4833","","","","","Boise, ID 83711 USA","Boise","ID","83711","United States","208","(208)375-7911","800-398-0842","(208)376-0770","alertmagazine@aol.com","http://www.alertmagazine.org"
"LTNQPX383151526","Alerta Verde","13, Agudama Ave., D-line","","","","","Port Harcourt, Nigeria","Port Harcourt","","","Nigeria","","234 84 236365","","","africa@oilwatch.org",""
"XGFGPS906213735","Alexandria Gazette Packet","1606 King St.","","","","","Alexandria, VA 22314 USA","Alexandria","VA","22314","United States","703","(703)778-9431","","","gazette@connectionnewspapers.com","http://www.alexandriagazette.com"
"KHEBEU849159790","Alexandria Lakes Area Visitor Guide","206 Broadway St.","","","","","Alexandria, MN 56308 USA","Alexandria","MN","56308","United States","320","(320)763-3161","800-235-9441","","info@alexandriamn.org","http://cdn.coverstand.com/34851/370138/10f376928d907ac52ebf8eaac14b6103291ca739.7.pdf"
"RCAXQL683146102","Alfa Lotfeeding Magazine","1 Darling Island Rd.","","","","","Pyrmont, NSW 2009, Australia","Pyrmont","","2009","Australia","","61 2 9282-2833","","","ventures@fairfaxmedia.com.au","http://www.fairfaxmedia.com.au"
"PBNTCA222869380","Alfa Owner","c/o Barbara Clark, Administrator","PO Box 92155","","","","Portland, OR 97292 USA","Portland","OR","97292","United States","","","","","","http://www.aroc-usa.org/membership"
"DUIHCO738691112","Al-Fares","PO Box 11-1038","","","","","Beirut, Lebanon","Beirut","","","Lebanon","","961 1 545-7261","","961 1 545-6376","support@in2info.com; info@in2info.com","http://www.alfaresmagazine.com/pdf-website/whyalfares.html"
"FHEJVK916550407","Alfred Hitchcock's Mystery Magazine","6 Prowitt St.","","","","","Norwalk, CT 06855 USA","Norwalk","CT","06855","United States","203","(203)866-6688","","(203)854-5962","corporatesales@pennypublications.com","http://www.themysteryplace.com/ahmm"
"OIOBQI876678868","Algebra & Number Theory","University of California","University of California, Berkeley","","","","Berkeley, CA 94720-3840 USA","Berkeley","CA","94720-3840","United States","510","(510)643-8638","","(510)295-2608","contact@mathscipub.org; contact@msp.org","http://msp.berkeley.edu/ant/about/cover/cover.html; http://msp.org/publications/journals/#ant"
"NAQBSD430805256","Algebra and Logic","233 Spring St.","","","","","New York, NY 10013 USA","New York","NY","10013","United States","212","(212)460-1500","","(212)460-1575","service-ny@springer.com; trans@transactionpub.com; customerservice@springer.com","http://www.springer.com/mathematics/algebra/journal/10469"
"MTHGHZ415557465","Algebraic & Geometric Topology","University of California","University of California, Berkeley","","","","Berkeley, CA 94720-3840 USA","Berkeley","CA","94720-3840","United States","510","(510)643-8638","","(510)295-2608","agt@msp.warwick.ac.uk","http://msp.org/agt/2014/14-2; http://msp.org/publications/journals/#agt"
"DGONVC208012117","Algebra Universalis","No. 2, Funato Bldg.","1-11-11 Kudan-kita","Chiyoda-ku","","","Tokyo 102-0073, Japan","Tokyo","","102-0073","Japan","","","","81 3 683-170-06","info@springer.jp; support@springer.jp; market@springer.jp; jinji@springer.jp; journal@springer.jp; ebooks@springer.jp; puboperations@springer.jp","http://www.springer.com/birkhauser/mathematics/journal/12; http://link.springer.com/journal/12"
"UFQXUF117035087","Algoa FM 94.8","PO Box 5973","","","","","Walmer 6065, South Africa","Walmer","","6065","South Africa","","27 41 505-9497","","","eskort@algoafm.co.za; promotions@algoafm.co.za; charitygolfday@algoafm.co.za; mclub@algoafm.co.za; youth@algoafm.co.za; eskort@algoafm.co","http://www.algoafm.co.za; http://www.ame.co.za"
"ZOMXVN404394306","Algorithmica","233 Spring St.","","","","","New York, NY 10013 USA","New York","NY","10013","United States","212","(212)460-1500","","(212)460-1575","service-ny@springer.com; trans@transactionpub.com; customerservice@springer.com","http://www.springer.com/computer/theoretical+computer+science/journal/453"
"PFVGGT439951093","Algorithmic Finance","Nieuwe Hemweg 6B","","","","","1013 BG Amsterdam, Netherlands","Amsterdam","","1013 BG","Netherlands","","31 206-883355","","31 206-870019","info@iospress.nl; sales@iospress.nl; cis@iospress.nl; order@iospress.nl; publisher@iospress.nl; editorial@iospress.nl; iospress@accucoms.com; sales@iospresss.com","http://algorithmicfinance.org; http://www.iospress.nl/journal/algorithmic-finance"
"IZYIJN416486439","Alices","955 Oliver Rd.","","","","","Thunder Bay, ON, Canada P7B 5E1","Thunder Bay","ON","P7B 5E1","Canada","807","(807)343-8110","","(807)343-8023","tbay@lakeheadu.ca",""
"KGTTSL166824255","ALI-CLE Estate Planning Course Materials Journal","4025 Chestnut St.","","","","","Philadelphia, PA 19104 USA","Philadelphia","PA","19104","United States","","","800-253-6397","(215)243-1664","","http://www.ali-cle.org/index.cfm?fuseaction=publications.periodical%26pub=epcmj"
"UVCDGZ986992923","AL IDARI","","","","","","Beirut, Lebanon","Beirut","","","Lebanon","","","","","assayad@inco.com.ib","http://www.alidarimagazine.com"
"RZJQYO392514677","Aligarh Journal of Statistics","c/o Editor","Department of Statistics and Operations Research","","","","Aligarh 202002, India","Aligarh","","202002","India","","91 571 2700920","","","editor.ajs@amu.ac.in","http://www.amu.ac.in/journals/ajstats/"
"HSWWXN909221542","Alimentary Pharmacology and Therapeutics","9600 Garsington Rd.","","","","","Oxford OX4 2DQ, United Kingdom","Oxford","","OX4 2DQ","United Kingdom","","44 1865 776-868","","44 1865 714-591","info@wiley.com; custserv@wiley.com","http://onlinelibrary.wiley.com/journal/10.1111/(issn)1365-2036"
"NTNDIJ649266939","All About Jazz","761 Sproul Rd., Ste. 211","","","","","Springfield, PA 19064 USA","Springfield","PA","19064","United States","610","(610)690-0326","","(240)359-2349","","http://www.allaboutjazz.com/aaj-magazine-number-2-spring-2014-by-michael-ricci.php"
"PXUWNG069328482","Allcarcentral.com","3622B Mount Diablo Blvd.","","","","","Lafayette, CA 94549-3737 USA","Lafayette","CA","94549-3737","United States","925","(925)951-7100","","(925)609-9481","","http://www.allcarcentral.com"
"WHSLQQ747011395","The Allegheny Review","Allegheny College","520 N Main St.","","","","Meadville, PA 16335 USA","Meadville","PA","16335","United States","","","","","review@allegheny.edu","http://alleghenyreview.wordpress.com"
"TNMQGP128131509","Allen's TV Cable Service Inc.","1580 I-49 N Service Rd.","","","","","Grand Coteau, LA 70541 USA","Grand Coteau","LA","70541","United States","337","(337)662-5315","888-793-9800","","info@atvci.net","http://atvci.net"
"QUOQLO350584963","Allen's TV Cable Service Inc.","800 Victor II Blvd.","","","","","Morgan City, LA 70380 USA","Morgan City","LA","70380","United States","985","(985)384-8335","","","info@atvci.net","http://www.atvc.net"
"LINXXC064446305","The Allen American","309 W Pecan St.","","","","","Celina, TX 75009 USA","Celina","TX","75009","United States","","","","","texasbrew@dfw.com","http://starlocalmedia.com/allenamerican"
"GSQAZQ085682512","Allergy and Clinical Immunology International","3251 Riverport Ln.","","","","","Maryland Heights, MO 63043 USA","Maryland Heights","MO","63043","United States","314","(314)447-8000","877-839-7126","(314)447-8033","usbkinfo@elsevier.com; journalcustomerservice-usa@elsevier.com; support@elsevier.com; permissionshelpdesk@elsevier.com; mathematics@elsevier.com","http://www.jacionline.org/content/aims"
"NPAXEQ054822742","All-FM 96.9","19 Albert Rd.","","","","","Levenshulme M19 2EQ, United Kingdom","Levenshulme","","M19 2EQ","United Kingdom","","44 161 248-688-8","","","info@allfm.org","http://www.allfm.org; http://www.commedia.org.uk"
"BFKLIP831920099","ALL Frets","2501 Saddleback Dr.","","","","","Edmond, OK 73034 USA","Edmond","OK","73034","United States","405","(405)819-3883","","","allfrets@aol.com","http://www.allfrets.com/member-benefits.html"
"DBLMGV867465866","Allgemeine Papier-Rundschau","Industriestrasse 2","","","","","63150 Heusenstamm, Germany","Heusenstamm","","63150","Germany","","49 6104 6060","","49 6104 6063-33","info@kepplermediengruppe.de; apr@kepplermediengruppe.de; vertrieb@kepplermediengruppe.de; internet@kepplermediengruppe.de; neckermann@kepplermediengruppe.de","http://www.apr.de"
"TITUUD523874203","All Hands","6700 Taylor Ave.","","","","","Fort Meade, MD 20755 USA","Fort Meade","MD","20755","United States","","","","","dma.ahm@mail.mil","http://www.navy.mil/ah_online; http://www.public.navy.mil/bupers-npc/reference/Publications/Pages/default.aspx"
"CNEKSY233840109","All Hands","6700 Taylor Ave.","","","","","Fort Meade, MD 20755 USA","Fort Meade","MD","20755","United States","301","(301)222-6000","","","contactcenter@gpo.gov; orders@gpo.gov",""
"INMSUX187665857","Alliance Communications","612 3rd St.","","","","","Garretson, SD 57030 USA","Garretson","SD","57030","United States","605","(605)594-3411","800-701-4980","","jdoe@alliancecom.net","http://www.alliancecom.net"
"XJLRKR980341524","Alliance Times-Herald","114 E Fourth St.","","","","","Alliance, NE 69301 USA","Alliance","NE","69301","United States","308","(308)762-3060","","","","http://www.alliancetimes.com"
"TLNLBM333146887","All India Institute of Local Self Government Quarterly Journal","Plot No. 6, F-Block","Bandra Kurla Complex, T.P.S.","Road 12","","","Mumbai 400051, India","Mumbai","","400051","India","","91 22 2657 1713","","91 22 2628-8790","contact@aiilsg.org; indore@aiilsg.org; lucknow@aiilsg.org; dg@aiilsg.org; disastermanagement@hotmail.com; goa@aiilsg.org; onlinetrivandrum@aiilsg.org; bangalore@aiilsg.org; onlinebangalore@aiilsg.org; onlinemumbai@aiilsg.org","http://www.aiilsg.org/local-government-quarterly/"
"RUTRLR421548834","All India Radio-Ahwa Dangs 1485","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"AQDFVX190875861","All India Radio-Aizawl 540 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"YOFDTF197459480","All India Radio-Allahabad 100.3 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1300","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://allindiaradio.gov.in; http://prasarbharati.gov.in"
"HMAFIN489544415","All India Radio-Banswara 101.3 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"CGXUOD748980038","All India Radio-Baripada 102.9 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"QIPBHR158423980","All India Radio-Barmer 1458 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"FMNBYG748444384","All India Radio-Berhampur 100.6 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"AENOPI413640079","All India Radio-Betul 103.1 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"QKESPU460389135","All India Radio-Bhadravati 675","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"SXOOPE717553620","All India Radio-Bhagalpur 1458","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"EBQTNF006100483","All India Radio-Bhatinda 101.1 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"FTFITW756068186","All India Radio-Bhawanipatna 1206 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://allindiaradio.gov.in; http://prasarbharati.gov.in"
"HYAOIT452413546","All India Radio-Bikaner 1395","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"QEQBMA601454468","All India Radio-Chandigarh 103.1","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"IJFAQH877199784","All India Radio-Chennai 'B' 1017","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"TBCFUO277998394","All India Radio-Chitradurga 102.6 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"NQUGSB625703882","All India Radio-Coimbatore 999","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"QMQYBA120351669","All India Radio-Cuttack 972 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","","","","","http://www.aircuttack.com; http://prasarbharati.gov.in"
"BJVEJK891597121","All India Radio-Daman 102.3 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"OXCPGH341104074","All India Radio-Dharwad 103 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"ZJTSOU301019103","All India Radio-Dhule 100.5 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"GXFCYJ038609759","All India Radio-Gwalior 1386 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","","","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"MAGCEQ437567078","All India Radio-Itanagar 675","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"SCGMRX597604226","All India Radio-Jagdalpur 756","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"FCKDJI054794559","All India Radio-Jaipur 1476 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"VSKFUN775273510","All India Radio-Jalandhar 'A'","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"OXAYKQ345646066","All India Radio-Jammu 990 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"ULKLNQ340373150","All India Radio-Jamshedpur 1584 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"BFPTUR986786670","All India Radio-Jhalawar 103.2 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","jhalawar@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"EPEFDD603555591","All India Radio-Jhansi 103.0 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"INQOXT356614560","All India Radio-Joranda 1485","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in"
"OPLRGI849511770","All India Radio-Kailashahar 103.2","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"YDNOVW162284184","All India Radio-Kanpur 100.1 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"XJFZSF920159112","All India Radio-Karaikal 100.3 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"GGOWEE031433752","All India Radio-Kathua 102.2 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"HAUMAP501951959","All India Radio-Mangalore 1089","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","bhinternet@air.org.in; mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"LPAPDT562165719","All India Radio-Markapur 101.5 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"CQXYKQ123197307","All India Radio-Mount Abu 103.5 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"ODWCPQ594566113","All India Radio-Murshidabad 102.2 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"CJQFUR716165322","All India Radio-Nagercoil 101.0 MHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
"HXZUXK565053327","All India Radio-Nanded 101.1 KHz","Akashvani Bhavan","Sansad Marg","","","","New Delhi 110001, India","New Delhi","","110001","India","","91 11 2342-1006","","91 11 2342-1956","mktgdivdelhi@air.org.in","http://www.allindiaradio.gov.in; http://prasarbharati.gov.in"
